Window_ID,Delta_T
0,16.977604305431093
1,6.901484606799439
2,5.763645810634557
3,7.317469879251032
4,8.651302251556594
5,9.338845582449302
6,9.69253163126642
7,9.657390575032764
8,9.568992077324697
9,10.615883034277125
10,10.88630283252039
11,10.592577482077889
12,10.25298127242225
13,10.173031000582018
14,9.902497515268927
15,9.700210296435667
16,10.540425098029864
17,10.44882105288891
18,10.054073519149373
19,10.068910548512008
20,9.809184583601745
21,9.871383360893176
22,9.790263528785601
23,9.794084269473469
24,11.28815313463809
25,11.24242694421065
26,11.364434130206273
27,11.471108971480657
28,11.582129038554886
29,11.584752362951928
30,11.372245598143422
31,11.279646078614455
32,11.279026855568084
33,11.150061997849868
34,10.906921822852478
35,10.762443449709469
36,10.626844386323999
37,10.66008697048456
38,10.529896591647173
39,10.581411677396623
40,12.627586004310384
41,12.594941126473877
42,12.147801760034621
43,12.46355445685096
44,12.327783772557218
45,12.134969669998046
46,11.670464902466588
47,11.794507643354638
48,16.787962796361924
49,17.26804003787999
50,17.22664567459628
51,17.259236933793527
52,16.930490511358137
53,18.669227863261913
54,18.335595673209593
55,18.00260236535742
56,17.577660698067827
57,17.117319867845055
58,16.70412190218325
59,16.380282063154553
60,16.024973642246373
61,17.099329034632696
62,17.02255228166073
63,17.057027714252758
64,16.802351497054456
65,17.414887138096102
66,17.629011834100485
67,17.533516604096103
68,17.33948201570979
69,17.19978771528167
70,16.085874125427978
71,15.143415755231388
72,13.582852542992491
73,13.525536485951719
74,14.105596030405852
75,13.37767869903655
76,12.415009713630806
77,11.957326646782498
78,11.479755599708202
79,12.257916099138846
80,11.384427925194444
81,12.964695675590072
82,13.029555690720947
83,13.005780960515903
84,12.41391403507204
85,14.011677849540238
86,13.4384450249606
87,13.474478954937645
88,13.52775548117846
89,13.279644183499368
90,9.864873772980527
91,19.129360651670915
92,21.039649128592504
93,21.468927357772674
94,21.281199787326248
95,21.353675989668385
96,20.893515980399798
97,20.728301894835113
98,21.213425177258515
99,21.356679744237802
100,21.42876522187639
101,20.79426697108246
102,20.271087350425685
103,19.445292126177385
104,18.91548233137926
105,18.861882796403385
106,22.875479223151494
107,24.79069203793309
108,19.54351703694089
109,18.98608563868291
110,19.138575204609104
111,18.949085742357347
112,18.956760578791453
113,19.718677083920422
114,19.49988979137457
115,19.040701401799723
116,19.405024448343813
117,22.183789250666976
118,22.446647470249513
119,26.79366922490277
120,25.885134064667604
121,31.399644279415174
122,24.103981852860002
123,25.008838174947343
124,40.41210724545289
125,68.89121630895609
126,76.45351789577887
127,68.70207655420367
128,72.79872017449283
